Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?,Parent item,Assigned to Attachments,Child,Essential (Middle Tier),String Length
Conversions,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Conversions,,No,,,"03 Podcasting (https://www.notion.so/03-Podcasting-17ed642a7f71801c80b2cd761b2fa30c?pvs=21), 02 Lead Magnets (https://www.notion.so/02-Lead-Magnets-17ed642a7f71805aa9e0cce12808b4c9?pvs=21), 01 Taking People off Platform (intro to Conversions) (https://www.notion.so/01-Taking-People-off-Platform-intro-to-Conversions-17ed642a7f71807b9460f9bfef993d1d?pvs=21), 08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions) (https://www.notion.so/08-How-it-builds-your-business-Delete-this-or-rename-to-like-invisible-mysterious-indirect-conv-17ed642a7f7180a4b8d4f7d772195cc7?pvs=21), 05 Speaking Engagements (https://www.notion.so/05-Speaking-Engagements-17ed642a7f7180b38953f0d7e2b5f3ce?pvs=21), 07 Newsletter (https://www.notion.so/07-Newsletter-17ed642a7f7180db9212ce8e897b1176?pvs=21), 04 YouTube (https://www.notion.so/04-YouTube-17ed642a7f7180fc8297e921db408088?pvs=21), 06 Outreach and Finding work/clients (https://www.notion.so/06-Outreach-and-Finding-work-clients-181d642a7f7180d8abe0ec25278a7679?pvs=21)",,0
06 Outreach and Finding work/clients,Yes,PDF,"Aydan, Alex O'Connor",Finding Examples,"Aydan, Alex O'Connor",C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21),,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,1,Normal,No,Conversions,"Alex O'Connor, Aydan",No,,,,,0
05 Speaking Engagements,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,2,Normal,No,Conversions,Alex O'Connor,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
08 How it builds your business (Delete this?) (or rename to like ‘invisible/mysterious/indirect conversions),No,,,Not started,"Aydan, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,3,Medium,No,Conversions,,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
03 Podcasting,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Aydan",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
07 Newsletter,No,PDF,Tia Warner,Finding Examples,"Tia Warner, Alex O'Connor","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Tia Warner, Joden",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
04 YouTube,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,"Alex O'Connor, Tia Warner, Joden","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Joden, Alex O'Connor",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,CF,2
02 Lead Magnets,Yes,"PDF, affiliate links",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,Alex O'Connor,No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
01 Taking People off Platform (intro to Conversions),Yes,affiliate links,Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,No,Yes,4,Medium,No,Conversions,"Alex O'Connor, Joden",No,Conversions (https://www.notion.so/Conversions-17ed642a7f7180c4a6fbdfe236e63d2e?pvs=21),,,F,1
Delegation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Delegation,,No,,,"02 First Bottlenecks (setup) (https://www.notion.so/02-First-Bottlenecks-setup-17ed642a7f71806b9b7deb045be8f8c9?pvs=21), 05 How to make the content run itself (hiring/motivating)   (https://www.notion.so/05-How-to-make-the-content-run-itself-hiring-motivating-17ed642a7f7180959811c8fbf6e26544?pvs=21), 04 Videography Delegated (https://www.notion.so/04-Videography-Delegated-17ed642a7f7180a79f10f32a871e6f38?pvs=21), 06 Creating a Team Workflow (technical pipeline breakdown) (https://www.notion.so/06-Creating-a-Team-Workflow-technical-pipeline-breakdown-17ed642a7f7180c2bd76f27d1bd0572a?pvs=21), 01 Introduction to Delegationintro (https://www.notion.so/01-Introduction-to-Delegationintro-17ed642a7f7180c4a204e21f477b1218?pvs=21), 03 Creation of the Creative Team (https://www.notion.so/03-Creation-of-the-Creative-Team-181d642a7f7180ce86d3f5324d6f52f1?pvs=21)",,0
03 Creation of the Creative Team,Yes,"PDF, final script",Alex O'Connor,Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,4,Medium,No,Delegation,Alex O'Connor,No,,,,F,1
02 First Bottlenecks (setup),Yes,"PDF, final script","Joden, Alex O'Connor",Finding Examples,Alex O'Connor,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,4,Medium,No,Delegation,"Alex O'Connor, Joden",No,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,,F,1
"05 How to make the content run itself (hiring/motivating)  ",Yes,"PDF, final script","Joden, Alex O'Connor",Finding Examples,"Joden, Alex O'Connor","F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,2,Normal,No,Delegation,"Alex O'Connor, Joden",No,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,,F,1
06 Creating a Team Workflow (technical pipeline breakdown),No,"PDF, affiliate links, final script",Joden,Finding Examples,"Joden, Alex O'Connor","F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,2,Normal,No,Delegation,"Joden, Alex O'Connor",No,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,,F,1
01 Introduction to Delegationintro,Yes,,,Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,4,Medium,No,Delegation,"Alex O'Connor, Joden",No,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,,F,1
04 Videography Delegated,No,,,Not started,"Joden, Aydan","C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Delegation (https://www.notion.so/Delegation-17ed642a7f71803a8e0bc58c0d3fd7d7?pvs=21),,No,Yes,3,Medium,No,Delegation,"Joden, Aydan",No,,,,F,1
Editing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Editing,,No,,,"Editing Basics (https://www.notion.so/Editing-Basics-17ed642a7f718016921be415d292b505?pvs=21), Editing Team (https://www.notion.so/Editing-Team-17ed642a7f71807b9dfcfe2cb45268e8?pvs=21), Editing Advanced (https://www.notion.so/Editing-Advanced-17ed642a7f718087bdb1d9f08550adff?pvs=21), Podcast Clipping (https://www.notion.so/Podcast-Clipping-17ed642a7f7180a9b4f0fa8fe7206a7a?pvs=21)",,0
Podcast Clipping,No,,Aydan,Writing Script/Theory,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,3,Medium,No,Editing,"Aydan, Joden",No,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,,F,1
Editing Team,No,,Joden,Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,4,Medium,No,Editing,Joden,No,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,,F,1
Editing Advanced,No,,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,5,Medium,No,Editing,Joden,No,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,,CF,2
Editing Basics,No,,Aydan,Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,No,Yes,2,Normal,No,Editing,Aydan,No,Editing (https://www.notion.so/Editing-17ed642a7f7180ddbaeaf871d8b76fff?pvs=21),,,,0
Monetisation,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Monetisation,,No,,,"Monetisation Basics (Setting up platform) - filmed but script unfinished (https://www.notion.so/Monetisation-Basics-Setting-up-platform-filmed-but-script-unfinished-17ed642a7f7180009b94e7854f8ade04?pvs=21), Monetisation Pro (business - how do you sell to your audience) (https://www.notion.so/Monetisation-Pro-business-how-do-you-sell-to-your-audience-17ed642a7f7180c5bf20c43faa48779c?pvs=21), Monetisation Founder (partnerships) (https://www.notion.so/Monetisation-Founder-partnerships-17ed642a7f7180faa3b0dbe36a48184b?pvs=21)",,0
Monetisation Basics (Setting up platform) - filmed but script unfinished,No,,"Aydan, Joden",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,6,High,No,Monetisation,"Joden, Aydan",No,,,,CF,2
Monetisation Founder (partnerships),Yes,research,"Joden, Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,3,Medium,No,Monetisation,"Joden, Aydan",No,,,,F,1
Monetisation Pro (business - how do you sell to your audience),Yes,research,Joden,Finding Examples,Alex O'Connor,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Monetisation (https://www.notion.so/Monetisation-181d642a7f7180168e89fb1bc68eabd1?pvs=21),,No,Yes,4,Medium,No,Monetisation,"Joden, Alex O'Connor",No,,,,F,1
Posting & Scheduling,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Posting & Scheduling,,No,,,"P&S Individual (https://www.notion.so/P-S-Individual-17ed642a7f7180c29becf166a175ec17?pvs=21), P&S Founder (https://www.notion.so/P-S-Founder-17ed642a7f7180e5a26ff7d0fad4c49f?pvs=21)",,0
P&S Founder,No,"PDF, Walkthrough, affiliate links","Aydan, Alex O'Connor",Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Posting & Scheduling (https://www.notion.so/Posting-Scheduling-17ed642a7f718040b18cffc04316721d?pvs=21),,No,Yes,3,Medium,No,Posting & Scheduling,Joden,No,,,,F,1
P&S Individual,No,,"Aydan, Alex O'Connor",Writing Script/Theory,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Posting & Scheduling (https://www.notion.so/Posting-Scheduling-17ed642a7f718040b18cffc04316721d?pvs=21),,No,Yes,3,Medium,No,Posting & Scheduling,"Joden, Aydan",No,,,,C,1
Repurposing,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Repurposing,,No,,,"Repurposing from LinkedIn: Worked Examples/ (https://www.notion.so/Repurposing-from-LinkedIn-Worked-Examples-17ed642a7f718009b201e18ecb47f9c8?pvs=21), Repurposing Normal (https://www.notion.so/Repurposing-Normal-17ed642a7f71807bb6dbfae4eed06a73?pvs=21), Serialisation (https://www.notion.so/Serialisation-17ed642a7f7180fb83daf9793abd35d9?pvs=21)",,0
Serialisation,Yes,,"Tia Warner, Joden",Finding Examples,"Tia Warner, Alex O'Connor","C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,5,Medium,No,Repurposing,"Tia Warner, Joden",No,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,,CF,2
Repurposing from LinkedIn: Worked Examples/,Yes,Other Assets,Joden,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,3,Medium,No,Repurposing,Joden,Yes,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,,F,1
Repurposing Normal,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,No,Yes,6,High,No,Repurposing,"Joden, Tia Warner",No,Repurposing (https://www.notion.so/Repurposing-17ed642a7f7180808e09ec462a6d1b30?pvs=21),,,CF,2
Research,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Research,,No,,,"Research Advanced Tasks (https://www.notion.so/Research-Advanced-Tasks-17ed642a7f71803da585e10f095af144?pvs=21), Research Basics (https://www.notion.so/Research-Basics-17ed642a7f7180579f17de70aad2daba?pvs=21)",,0
Research Advanced Tasks,No,,Tia Warner,Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,No,Yes,3,Medium,No,Research,Tia Warner,No,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,,F,1
Research Basics,Yes,,Tia Warner,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,No,Yes,3,Medium,No,Research,Tia Warner,No,Research (https://www.notion.so/Research-17ed642a7f7180ae986fe86a366b48a2?pvs=21),,,C,1
