Name,Theory/Lectures Filmed?,Needs,FilmingWorkShop / Examples / Whatever Supplementary Materials,Status,Person Assinged Writer,Projects,Other Filming Locations?,Parent,PDFs/Attachments,Doesn't Need Attachment,Missing Attachments?,Amount of Projects,Module priority,Parent?,Parent Groups,FilmingTheory?,Workshops/Supplementaries Filmed?,Parent item,Assigned to Attachments,Child,Essential (Middle Tier),String Length
Shooting,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Shooting,,No,,,"Producing a Podcast for Clips (https://www.notion.so/Producing-a-Podcast-for-Clips-17ed642a7f71807cbedbf443cee77aba?pvs=21), Setting up a Studio Space (https://www.notion.so/Setting-up-a-Studio-Space-17ed642a7f7180ae9331d91591bfa662?pvs=21), Solo Phone Shooter (https://www.notion.so/Solo-Phone-Shooter-17ed642a7f7180bba0cfdbb2d4424e30?pvs=21), Videography Pro (https://www.notion.so/Videography-Pro-17ed642a7f7180f8916efe7b96732b18?pvs=21), Camera Confidence (https://www.notion.so/Camera-Confidence-181d642a7f71804ab384dc2c4d87ba75?pvs=21)",,0
Camera Confidence,Yes,,"Joden, Aydan",Finding Examples,Aydan,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,5,Medium,No,Shooting,"Joden, Aydan",No,,,,CF,2
Producing a Podcast for Clips,Yes,,Aydan,Finding Examples,Aydan,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,4,Medium,No,Shooting,Aydan,No,,,,F,1
Setting up a Studio Space,No,affiliate links,"Joden, Aydan",Not started,Joden,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,4,Medium,No,Shooting,Joden,No,,,,CF,2
Videography Pro,No,affiliate links,Joden,Not started,Joden,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,3,Medium,No,Shooting,Joden,No,,,,CF,2
Solo Phone Shooter,Yes,affiliate links,Aydan,Finding Examples,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Shooting (https://www.notion.so/Shooting-17ed642a7f7180ee937ed0835beb1548?pvs=21),,No,Yes,6,High,No,Shooting,Aydan,No,,,,CF,2
Theory Advanced,No,,,Parent Item,,,,,,No,Yes,0,,Yes,Theory Advanced,,No,,,"Basics on PR and Position (https://www.notion.so/Basics-on-PR-and-Position-17ed642a7f7180689782f31fafa822bd?pvs=21), PR advanced - Shaping your Narrative (this is more authority than PR, maybe I missed something tho, its still good) (https://www.notion.so/PR-advanced-Shaping-your-Narrative-this-is-more-authority-than-PR-maybe-I-missed-something-tho--17ed642a7f7180cfa5bfd4485b2ca2fc?pvs=21), 01 Foundations of Manufacturing Authority (https://www.notion.so/01-Foundations-of-Manufacturing-Authority-182d642a7f7180d2a3e5ca6a2759f287?pvs=21), Nuanced Hook: Morally Dubious (https://www.notion.so/Nuanced-Hook-Morally-Dubious-182d642a7f718015aab1e596d2a14b2e?pvs=21), Advanced Emotional Positioning  (https://www.notion.so/Advanced-Emotional-Positioning-182d642a7f718083afa7cfad4a3888bc?pvs=21), Complex Formats & Remixing (https://www.notion.so/Complex-Formats-Remixing-182d642a7f7180f1b471d3c13be639e3?pvs=21), Data-Led Iteration (https://www.notion.so/Data-Led-Iteration-182d642a7f71802cbd76ffdd6f26276a?pvs=21), 02 Authority and Brand Holism through Short Form Content (https://www.notion.so/02-Authority-and-Brand-Holism-through-Short-Form-Content-182d642a7f7180ac9044e8b5eadc5956?pvs=21), Advanced Engagement Metrics (https://www.notion.so/Advanced-Engagement-Metrics-182d642a7f718056a53dd98c0afdd03a?pvs=21), Script Mastery: Optimising for Engagement (https://www.notion.so/Script-Mastery-Optimising-for-Engagement-18cd642a7f71809ea5adff7162ddb0b4?pvs=21), Intro: Founder Specific (https://www.notion.so/Intro-Founder-Specific-190d642a7f7180ab935bf594818b49d6?pvs=21), Handling a Comment Section (https://www.notion.so/Handling-a-Comment-Section-19ed642a7f7180aba58af786dc7bad7d?pvs=21), The Importance of Lo-Fi (https://www.notion.so/The-Importance-of-Lo-Fi-19ed642a7f7180e1a774c4e4d7cf0c83?pvs=21), “The Founders Paradox” (https://www.notion.so/The-Founders-Paradox-1a0d642a7f7180858b49da6df331d007?pvs=21)",,0
“The Founders Paradox”,No,,,Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,,No,,,,F,1
Handling a Comment Section,Yes,,"Joden, Aydan",Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
The Importance of Lo-Fi,Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,4,Medium,No,Theory Advanced,"Joden, Aydan",No,,,,F,1
Intro: Founder Specific,No,,,Writing Script/Theory,"Tia Warner, Alex O'Connor","F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,"Joden, Alex O'Connor",No,,,,F,1
Script Mastery: Optimising for Engagement,Yes,,"Tia Warner, Joden",Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,4,Medium,No,Theory Advanced,Joden,No,,,,F,1
Advanced Engagement Metrics,Yes,,"Aydan, Joden",Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No,,,,F,1
02 Authority and Brand Holism through Short Form Content,Yes,,"Tia Warner, Aydan",Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
Data-Led Iteration,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No,,,,F,1
Complex Formats & Remixing,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,Joden,No,,,,F,1
"Advanced Emotional Positioning ",No,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,2,Normal,No,Theory Advanced,"Joden, Tia Warner",No,,,,F,1
Nuanced Hook: Morally Dubious,Yes,,Tia Warner,Finding Examples,Tia Warner,"F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
01 Foundations of Manufacturing Authority,Yes,,"Tia Warner, Aydan",Finding Examples,Aydan,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
"PR advanced - Shaping your Narrative (this is more authority than PR, maybe I missed something tho, its still good)",Yes,"PDF, final script",Alex O'Connor,Finding Examples,Alex O'Connor,"F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
Basics on PR and Position,Yes,PDF,Alex O'Connor,Finding Examples,Alex O'Connor,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Advanced (https://www.notion.so/Theory-Advanced-17ed642a7f7180af91bcd56177891eb3?pvs=21),,No,Yes,3,Medium,No,Theory Advanced,Joden,No,,,,F,1
Theory Basics,No,,,Parent Item,,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,,,No,Yes,3,Medium,Yes,Theory Basics,,No,,,"Intro: The Big Picture on Short Form (https://www.notion.so/Intro-The-Big-Picture-on-Short-Form-182d642a7f71808dba59f127acd7de2f?pvs=21), The 3 Cardinal Sins and Cardinal Virtues (https://www.notion.so/The-3-Cardinal-Sins-and-Cardinal-Virtues-182d642a7f71802c9e2bc27c0a61c716?pvs=21), Strategy: Pillars, Topics, Buckets (https://www.notion.so/Strategy-Pillars-Topics-Buckets-182d642a7f71802da03ac4294fc6d9ca?pvs=21), Hooking Fundamentals (https://www.notion.so/Hooking-Fundamentals-182d642a7f71806ba748dadf129abb4d?pvs=21), Scriptwriting 101 (https://www.notion.so/Scriptwriting-101-182d642a7f71807e8976c98f627a68c1?pvs=21), The Frame Itself (https://www.notion.so/The-Frame-Itself-182d642a7f718087bbceeaa6b5e22c48?pvs=21), Engagement Metrics 101 (https://www.notion.so/Engagement-Metrics-101-182d642a7f7180c49705c4d8c85df62e?pvs=21), Helpful Formats 101 (https://www.notion.so/Helpful-Formats-101-184d642a7f71809cb3f7dbf8f0456272?pvs=21), Starting an Account for Success (https://www.notion.so/Starting-an-Account-for-Success-182d642a7f7180c983f0e7f7a7518db7?pvs=21), Platform Differences (https://www.notion.so/Platform-Differences-182d642a7f71805ab3c7e5f5509b35f1?pvs=21), The Script of Sisyphus i.e The Boulder Analogy (https://www.notion.so/The-Script-of-Sisyphus-i-e-The-Boulder-Analogy-19dd642a7f71803d87b6fbd13b0e088c?pvs=21), Algorithmic Reality: The Holistic Understanding  (https://www.notion.so/Algorithmic-Reality-The-Holistic-Understanding-182d642a7f7180c1ace7e4968346e80f?pvs=21)",C,1
The Script of Sisyphus i.e The Boulder Analogy,Yes,,,Finding Examples,,"F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No,,Joden,,CF,2
Helpful Formats 101,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No,,,,C,1
"Algorithmic Reality: The Holistic Understanding ",Yes,,,Finding Examples,Tia Warner,"C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,5,Medium,No,Theory Basics,Joden,No,,,,CF,2
Engagement Metrics 101,Yes,,"Aydan, Joden",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No,,,,C,1
The Frame Itself,Yes,,,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No,,,,CF,2
Scriptwriting 101,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,2,Normal,No,Theory Basics,Joden,No,,,,C,1
Hooking Fundamentals,Yes,,Tia Warner,Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,3,Medium,No,Theory Basics,Joden,No,,,,C,1
"Strategy: Pillars, Topics, Buckets",Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,4,Medium,No,Theory Basics,Joden,No,,,,C,1
The 3 Cardinal Sins and Cardinal Virtues,Yes,,"Aydan, Tia Warner",Finding Examples,Tia Warner,"C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No,,,,CF,2
Intro: The Big Picture on Short Form,No,,,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,3,Medium,No,Theory Basics,,No,,,,C,1
Starting an Account for Success,Yes,,Aydan,Finding Examples,Aydan,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No,,,,CF,2
Platform Differences,Yes,,Tia Warner,Finding Examples,Tia Warner,"C1 Basics (https://www.notion.so/C1-Basics-17ed642a7f7180798cf9eb695f4dae69?pvs=21), C2 Creative (https://www.notion.so/C2-Creative-17ed642a7f7180e4b0e7e33842830529?pvs=21), C3 Freelancer / Solopreneur (https://www.notion.so/C3-Freelancer-Solopreneur-17ed642a7f7180dea416c341c18357ed?pvs=21), F1 Blueprint (https://www.notion.so/F1-Blueprint-17ed642a7f7180bf9712ec98dea1861f?pvs=21), F2 Build (https://www.notion.so/F2-Build-17ed642a7f7180a2a2f6d94be6cf333e?pvs=21), F3 Accelerate (https://www.notion.so/F3-Accelerate-17ed642a7f718039805ccd26b58da0c6?pvs=21)",,Theory Basics (https://www.notion.so/Theory-Basics-17ed642a7f71800b89f2fb04039f2fca?pvs=21),,No,Yes,6,High,No,Theory Basics,Joden,No,,,,CF,2
"Theory Lite  ",No,,,Parent Item,,,,,,No,Yes,0,,Yes,Theory Lite,,No,,,,,0